# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
VARIANT	12	PaperNativeEntityBoundingBox	directDimensionsSetSummary#variant2	7646.6000	5844.5000
VARIANT	12	PaperNativeEntityBoundingBox	oldMakeThenSetSummary#variant2	7083.7000	5677.4000
VARIANT	13	PaperNativeEntityChunkTransient	newMixedSummary#variant2	436.4000	291.6000
VARIANT	13	PaperNativeEntityChunkTransient	oldMixedSummary#variant2	363.6000	293.7000
VARIANT	14	PaperNativeEntityLookupStatus	directAccessibleSummary#variant2	1419.9000	1086.4000
VARIANT	14	PaperNativeEntityLookupStatus	directStatusSummary#variant2	1416.5000	1091.9000
VARIANT	14	PaperNativeEntityLookupStatus	oldAccessibleSummary#variant2	1500.5000	1087.8000
VARIANT	14	PaperNativeEntityLookupStatus	oldStatusSummary#variant2	1384.9000	1093.3000
VARIANT	15	PaperNativeImprovedNoiseDerivative	flatGradientDerivativeSummary#variant2	14513.5000	11545.0000
VARIANT	15	PaperNativeImprovedNoiseDerivative	inlineDerivativeSummary#variant2	15328.6000	11721.7000
VARIANT	15	PaperNativeImprovedNoiseDerivative	intTableDerivativeSummary#variant2	14833.6000	11671.2000
VARIANT	15	PaperNativeImprovedNoiseDerivative	oldDerivativeSummary#variant2	14600.0000	11715.9000
VARIANT	16	PaperNativeImprovedNoiseInline	arithmeticSummary#variant2	10206.1000	8039.5000
VARIANT	16	PaperNativeImprovedNoiseInline	flatGradientSummary#variant2	10610.9000	8168.3000
VARIANT	16	PaperNativeImprovedNoiseInline	inlineByteAccessSummary#variant2	11593.2000	9317.6000
VARIANT	16	PaperNativeImprovedNoiseInline	oldPMethodSummary#variant2	11689.7000	9307.3000
VARIANT	16	PaperNativeImprovedNoiseInline	switchGradientSummary#variant2	10003.3000	7625.4000
VARIANT	17	PaperNativeJigsawCanAttach	oldBatchSummary#variant2	794.5000	628.3000
VARIANT	17	PaperNativeJigsawCanAttach	optimizedBatchSummary#variant2	787.2000	627.7000
VARIANT	17	PaperNativeJigsawCanAttach	targetFirstBatchSummary#variant2	821.5000	626.4000
VARIANT	18	PaperNativeLegacyProvidedAliasRemoval	newReverseAliasRemoveSummary#variant2	115.8000	114.9000
VARIANT	18	PaperNativeLegacyProvidedAliasRemoval	oldValuesRemoveIfSummary#variant2	114.5000	109.6000
VARIANT	19	PaperNativeLevelChunkHeightmap	newCombinedUpdateSummary#variant2	15803826.1000	15780286.5000
VARIANT	19	PaperNativeLevelChunkHeightmap	oldFourUpdateSummary#variant2	2802929.9000	2768275.5000
VARIANT	20	PaperNativeMarkerCache	cachedSummary#variant2	700409.1000	684954.1000
VARIANT	20	PaperNativeMarkerCache	oldSummary#variant2	153873.2000	150861.8000
VARIANT	21	PaperNativeNoiseChunkBlendCache	newEmptyBlenderSummary#variant2	305.0000	301.1000
VARIANT	21	PaperNativeNoiseChunkBlendCache	oldEmptyBlenderSummary#variant2	95967.6000	95283.4000
VARIANT	22	PaperNativeNoiseChunkFlatCacheContext	newFalseContextSummary#variant2	24295.6000	18653.6000
VARIANT	22	PaperNativeNoiseChunkFlatCacheContext	newTrueContextSummary#variant2	24692.2000	18951.2000
